"gene";"mean";"sd";"se"
"SYT16";0;0;0
"SYT17";-6.55769279449839e-06;1.25162920124598e-05;1.9947788935325e-10
"SYT2";0.000275761424725685;0.00101339198263777;1.10180795034771e-06
"SYT3";1.3480157255458e-05;2.87664715008378e-05;1.00825780508781e-09
"SYT5";-1.31063681504873e-06;4.79462239562323e-06;2.46793171655208e-11
"SYT7";-2.91809382123251e-05;2.8904297893665e-05;1.68600958883062e-09
"SYT9";7.75142352151351e-06;5.69139875670422e-05;3.29550243292778e-09
"SYTL3";9.5944627748811e-06;1.47074386397226e-05;3.08109770140367e-10
"SYTL4";9.43947515317492e-05;2.97614943618509e-05;9.79508091275254e-09
"SYTL5";9.58140197458673e-07;1.22057213011456e-05;1.49723623492494e-10
"SYVN1";-8.62170527696449e-05;0.000194864075125995;4.53610281408266e-08
"TAAR1";-1.62808358200666e-06;1.19473125757036e-05;1.45222183607054e-10
"TAC1";1.03112888918825e-06;1.83312751703582e-05;3.36706311146563e-10
"TAC3";-7.00135815515155e-06;5.45138851182904e-05;3.01731100017569e-09
"TACC1";1.00967170239429e-06;3.69050418658539e-06;1.46233470918023e-11
"TACC2";0.00316317035959129;0.00148034344717118;1.2194503379116e-05
"TACO1";0;0;0
"TACR1";-9.16093516790308e-06;9.83805875547704e-05;9.75135580151112e-09
"TACR2";0;0;0
"TACSTD2";5.37207015214796e-05;0.000111916844397641;1.53966613785446e-08
"TAF13";4.95499875624345e-06;6.69299185962731e-06;6.92958207681206e-11
"TAF15";0.000604575402014517;0.000433721155406485;5.53405697974871e-07
"TAF8";-1.34300846545897e-05;9.16424298819789e-05;8.56889098953712e-09
"TAL1";-3.2100940919196e-06;2.06106708325642e-05;4.3460819485457e-10
"TAL2";-1.12948274233631e-05;0.000121505901563377;1.4874009946726e-08
"TAS1R1";0;0;0
"TBC1D1";3.32407755255705e-07;8.04089521352707e-06;6.4690958045262e-11
"TBC1D10A";2.59754810242568e-06;4.24572190672145e-06;2.47523520619133e-11
"TBC1D10B";-1.37971211583437e-05;1.4760624937955e-05;4.07982072722883e-10
"TBC1D13";5.43057465995939e-05;7.99671786586824e-05;9.33639327442662e-09
"TBC1D16";1.23757668454323e-05;3.50172112298583e-05;1.37793220475621e-09
"TBC1D19";1.05246132199227e-05;2.60724234814242e-05;7.89744624312719e-10
"TBC1D2";-4.98709601745221e-06;4.55905404381308e-05;2.10094035298626e-09
"TBC1D22A";1.04490268842168e-06;1.07096320836901e-05;1.15654050085799e-10
"TBC1D2B";-8.67329367607365e-09;1.39007594336111e-07;1.93757635781698e-14
"TBC1D3";3.72708548865278e-06;9.02441728786392e-06;9.52361333128571e-11
"TBC1D3C";-1.78098058599555e-05;0.000216072267982645;4.69498730252427e-08
"TBC1D4";2.2342841328593e-05;0.000226116193993814;5.15680061500389e-08
"TBC1D8";-4.58514337043951e-07;8.95925581985345e-06;8.03847289054164e-11
"TBCB";-3.20604901820696e-05;1.8291552223386e-05;1.36206504793822e-09
"TBCEL";2.84308422643042e-05;1.04227714856606e-05;9.16820048228267e-10
"TBL1X";6.81413436641726e-06;4.17870692088678e-05;1.79055167467765e-09
"TBL1XR1";0;0;0
"TBL1Y";-8.88201546375025e-07;1.34282643347879e-05;1.80896532832102e-10
"TBX1";3.94303503857523e-05;0.000131061874013969;1.87119005118536e-08
"TBX10";6.72150929964059e-06;0.000141493679375563;2.00422516011268e-08
"TBX15";5.10159498705071e-05;0.000109444138645876;1.4566653611712e-08
"TBX18";-3.63872896013582e-06;1.21331408437858e-05;1.60281477252045e-10
"TBX19";-3.4458798635173e-06;1.26181142020962e-05;1.70904893109328e-10
"TBX2";-1.70274980965536e-05;2.4432933595125e-05;8.86206542683438e-10
"TBX22";4.34821196966794e-07;2.52367299112605e-06;6.55055450609907e-12
