"pred";"y01"
0.693071097311299;"1"
0.920339249398427;"0"
0.823554977641935;"0"
0.841619355796718;"0"
0.905417722345564;"0"
0.907363968077089;"0"
0.889028746509441;"0"
0.876358951304351;"0"
0.621547259812684;"1"
0.448802657720571;"1"
0.869800572119066;"0"
0.860594604690121;"0"
0.922638317959747;"0"
0.854845679515988;"0"
0.898857347800167;"0"
0.946861908301764;"0"
0.876649881001827;"0"
0.904349723151379;"0"
0.93041378126604;"0"
0.520757408101148;"1"
0.869661514768718;"0"
0.89137620200571;"0"
0.933997953624053;"0"
0.541536807503796;"1"
0.641727407279691;"1"
0.915903322593771;"0"
0.73445716230081;"1"
0.880679492515982;"0"
0.91838298423292;"0"
0.574719358299174;"1"
0.459806703377168;"1"
0.787459788596468;"0"
0.789353387651498;"0"
0.899381547088902;"0"
0.824783556209896;"0"
0.866351695336148;"0"
0.905438761850578;"0"
0.849851618452828;"0"
0.783051753103699;"0"
0.859722971202343;"0"
0.849194929375656;"0"
0.931031909115762;"0"
0.945691293985209;"0"
0.909990962684576;"0"
0.882227642958572;"0"
0.580134328764884;"1"
0.941393854845706;"0"
0.763113006612306;"0"
0.869600477205324;"0"
0.878285710590472;"0"
0.604893545273515;"0"
0.853117589288775;"0"
0.87492877126876;"0"
0.883977832620593;"0"
0.891702984822393;"0"
0.920107353418959;"0"
0.934460624452857;"0"
0.791744657828631;"0"
0.861656168685114;"0"
0.887400348089445;"0"
0.871605324882809;"0"
0.91063522675775;"0"
0.899876635502169;"0"
0.850585151334809;"0"
0.78315428385396;"0"
0.807816110008118;"0"
0.777141949376483;"0"
0.626800708893538;"1"
0.829576750678838;"0"
0.572008353423625;"1"
0.930888355035608;"0"
0.776586802232719;"0"
0.929577429992201;"0"
0.886427738629286;"0"
0.891189182992911;"0"
0.798701285913649;"0"
0.880633321102761;"0"
0.382786460138571;"1"
0.887330783110088;"0"
0.874829130253752;"0"
0.881483369457986;"0"
0.624977236146943;"1"
0.922731280455148;"0"
0.638704929236032;"1"
0.873915629101691;"0"
0.843762004601096;"0"
0.895615720892482;"0"
0.906390621650024;"0"
0.876656404512107;"0"
0.884382325845772;"0"
0.897897699087607;"0"
0.853894385519123;"0"
0.922258354688543;"0"
0.900138429891395;"0"
0.873950051959987;"0"
0.894485598761044;"0"
0.93366954840463;"0"
0.906844447551841;"0"
0.933999958701196;"0"
0.879167201722333;"0"
0.754595838816716;"1"
0.750422178853376;"1"
0.870160830992851;"0"
0.925792057623875;"0"
0.904474565003611;"0"
0.905086627937414;"0"
0.911592862683598;"0"
0.922375665002497;"0"
0.918220122981249;"0"
0.509168807093444;"1"
0.821621885409184;"0"
0.90101757365512;"0"
0.905185888888858;"0"
0.894342044923814;"0"
0.612954993409518;"1"
0.876409024691529;"0"
0.77764304163401;"0"
0.620556237769247;"1"
0.923710599765569;"0"
