"gene";"mean";"sd";"se"
"KRT10";8.59421419573344e-06;1.53858365858082e-05;3.0746969604201e-10
"KRT12";5.22281016861704e-07;4.55314034525966e-06;2.07310870036312e-11
"KRT2";1.0125768117261e-06;6.98365778920643e-06;4.91550579674845e-11
"KRT20";-3.02008801273869e-06;1.88641622276309e-05;3.60295224253085e-10
"KRT27";0;0;0
"KRT31";3.6161167182361e-06;2.52847360830416e-05;6.43982101556487e-10
"KRT32";-7.61351985082601e-08;6.00471949433876e-06;3.55880230872268e-11
"KRT33A";-7.63949970594526e-05;0.00046828804286267;2.22244443360072e-07
"KRT33B";2.23205756256725e-05;7.79504161543693e-05;6.49452458833969e-09
"KRT34";0;0;0
"KRT35";0;0;0
"KRT37";7.60034536490861e-08;6.62582747632888e-07;4.39015897460747e-13
"KRT38";-9.83577808604048e-06;8.57463254162847e-05;7.35243232239539e-09
"KRT4";-1.04763082930071e-06;4.54755191762772e-06;2.15056505290272e-11
"KRT40";-3.95540018767182e-05;7.29751118861471e-05;6.81981540143286e-09
"KRT7";-3.9977153602953e-05;5.58955470036972e-05;4.68137561431501e-09
"KRT71";-5.32860288180477e-06;1.32657751089807e-05;2.02059261213477e-10
"KRT72";1.86621493241931e-06;1.62692845946847e-05;2.64689621222844e-10
"KRT73";1.26137946666663e-07;1.41372238906907e-06;1.98822426187397e-12
"KRT75";0;0;0
"KRT77";7.66914993028418e-06;1.81790310537591e-05;3.84944646890223e-10
"KRT81";4.80236037184021e-07;6.59175077086927e-06;4.31100788473862e-11
"KRT82";1.02337342223129e-05;3.30635276280122e-05;1.18354200614116e-09
"KRT83";-2.09035505079818e-05;8.4153184692731e-05;7.42553588495379e-09
"KRT84";-6.10221852779594e-05;0.000154105206727841;2.71596426954042e-08
"KRT9";1.76225981285489e-05;5.59073351016132e-05;3.3950593708833e-09
"KRTAP17.1";-9.21367774621794e-06;4.6674025537174e-05;2.23469250877375e-09
"KRTAP19.1";0;0;0
"KRTAP3.1";-2.60009094300777e-06;2.26670673291725e-05;5.1379594130524e-10
"KRTAP3.3";7.8709618802309e-07;5.24481430613254e-06;2.77656491320418e-11
"KRTAP4.1";1.59579438478631e-05;6.27210299732919e-05;4.13682136748699e-09
"KRTAP4.12";4.34878499848339e-07;5.96025483487157e-05;3.50590994463297e-09
"KRTAP5.5";3.55903387718123e-06;2.92818099007321e-05;8.58809213319133e-10
"KRTAP5.7";0.00011821204697668;0.000211814628382092;5.82491901523679e-08
"KRTAP5.8";3.78084167870189e-06;5.30145095960615e-05;2.78785222535622e-09
"KRTAP9.2";-1.19460605718585e-05;6.11911071535069e-05;3.83779217371805e-09
"KSR1";4.38993529487952e-05;0.000782056453185182;6.05491918947797e-07
"KSR2";1.51636396749205e-05;2.97787388269573e-05;1.1050411847607e-09
"KTELC1";-5.15750870372951e-06;1.51148756056192e-05;2.52053315015896e-10
"KTN1";8.88323994433387e-06;1.45904048539939e-05;2.88990814214643e-10
"KY";5.73123433067523e-05;0.000100365830654593;1.32254612377318e-08
"L1CAM";5.71541985704021e-05;6.70551719952857e-05;7.70383539907761e-09
"L3MBTL";-0.000838307967616094;0.000401082452260074;8.61510709270226e-07
"L3MBTL4";-2.01062354239384e-05;8.16555604761104e-05;6.98415927858177e-09
"LACE1";0.00253478412729993;0.00308189467629634;1.57982306994298e-05
"LACTB";-3.5906063719488e-05;0.000161686041527588;2.70876428047828e-08
"LAMA1";0.000502670029842578;0.000232144857250243;3.05859298455624e-07
"LAMA2";-0.00197862398966549;0.00182358613250343;7.19666313852465e-06
"LAMA3";0.000676915327818014;0.000356763561126083;5.83819859601447e-07
"LAMA5";-5.92007307983814e-05;5.48830718143127e-05;6.47724452552460e-09
"LAMB2";-2.33570241777258e-06;2.00678259355629e-05;4.02874227277859e-10
"LAMP2";0.000324041641317986;0.000191679424051773;1.41260552681231e-07
"LANCL3";7.13584780029656e-06;1.89010104302028e-05;4.03467884963176e-10
"LAP3";0.000233740280734564;0.000140398275602579;7.40868304748902e-08
"LAPTM4A";-1.10722530770178e-05;0.000112887565143667;1.26985181737927e-08
"LAPTM4B";5.5630594528388e-05;7.52617369800021e-05;8.68456145539146e-09
"LARGE";0.000101140044311659;7.45752981858733e-05;1.57176063589353e-08
"LARP1B";9.25065440379896e-05;0.000171407533491331;3.75514171414134e-08
"LARP4B";-1.12046630995329e-05;2.21763281738044e-05;6.10863091561144e-10
"LARP6";1.2948012765969e-05;2.2913812210261e-05;6.85785366831551e-10
"LAS1L";9.54528702551986e-05;7.68438477713843e-05;1.49385303152634e-08
"LASP1";2.28283382463034e-06;5.04079497202556e-05;2.51273902270491e-09
"LASS2";-4.32805941339022e-06;0.000128298152796503;1.62625636880833e-08
"LAT";-9.73068129888475e-05;0.000153885412730693;3.28377476809832e-08
"LATS1";-3.53629668121165e-06;6.13062396186856e-05;3.72150705492514e-09
"LATS2";0;0;0
"LAYN";1.97001717391606e-05;8.39100785500368e-05;7.33635461090111e-09
"LBX2";8.02713569597529e-05;0.000102662384688904;1.68443774883041e-08
"LCAT";0.000485505375487044;0.000318000879223033;3.3550944250835e-07
"LCE1C";-7.99486486666898e-06;6.87694808400982e-05;4.73093249747639e-09
"LCE1E";0.000194719105036237;0.000519327836151;3.04068228617376e-07
"LCE2A";-1.30901314369716e-06;8.63064418231121e-06;7.52214288988546e-11
"LCE2B";-6.56580477837775e-07;5.72393590239302e-06;3.27634422147038e-11
"LCE3A";0;0;0
"LCE3C";0;0;0
"LCK";0.000114982756524157;7.70495618461189e-05;1.90795556604055e-08
"LCN12";0.000158537096430572;0.000284812571230765;1.05184866929254e-07
"LCN15";-4.17676872700796e-07;4.15426965684504e-06;1.7205331978328e-11
"LCN2";-3.65745954449504e-07;3.01900222472656e-06;9.12821855671979e-12
"LCNL1";9.32726136634704e-05;0.00011380079220128;2.14799978664954e-08
"LCORL";-8.40748962247331e-05;0.000129280469949412;2.35621144025097e-08
"LCP1";-0.000169111781113248;0.000160176607014251;5.39177538217537e-08
"LCTL";-6.31625982705497e-06;3.2704979032267e-05;1.09543690152624e-09
"LDHA";-1.2366564616639e-05;4.05263712059146e-05;1.77370833139078e-09
"LDHD";9.03479975485578e-06;6.36611306750192e-05;4.0810416449214e-09
"LDLRAD1";-2.89697585519713e-06;2.52552499893632e-05;6.3782765202523e-10
"LDOC1";-3.15192548112981e-06;7.46269564725369e-05;5.50583854774575e-09
"LECT1";-7.55873469777913e-05;0.000155980704287671;2.9723295815981e-08
"LEF1";-4.70492328191288e-05;7.15813618527809e-05;7.27010205034761e-09
"LEFTY2";5.26876260201846e-05;6.86172901754558e-05;7.42236670309945e-09
"LELP1";0;0;0
"LEMD1";-0.000540825229088112;0.000728421732955871;8.1610859392061e-07
"LEMD2";-1.98271962090081e-05;4.40080887289519e-05;2.30434653211771e-09
"LEPRE1";-0.000971585176319934;0.000570910977252254;1.26562842321351e-06
"LEPREL1";-0.000147071299499801;0.000195315798373151;5.92762774268313e-08
"LEPREL2";-0.000100225040557077;0.000138533943563753;2.89841905171596e-08
"LEPROTL1";-2.54291309844215e-05;3.99998254147503e-05;2.22557428802796e-09
"LFNG";0.000268864548672469;0.000240444934277989;1.29341204499903e-07
"LGALS12";-0.000203065183039615;0.000203686220767997;8.21776493498358e-08
"LGALS3";-8.54429077108055e-05;0.000149858718948835;2.94626309172082e-08
