prob;tp1;fp1;tp2;fp2
0.01;;0.7684563758389261;0.23154362416107382;
0.02;;0.7684563758389261;0.23154362416107382;
0.03;;0.7684563758389261;0.23154362416107382;
0.04;1.0;0.7676767676767676;0.23232323232323232;0.0
0.05;1.0;0.7668918918918919;0.23310810810810811;0.0
0.060000000000000005;1.0;0.7661016949152543;0.23389830508474577;0.0
0.06999999999999999;1.0;0.7653061224489796;0.23469387755102042;0.0
0.08;1.0;0.7604166666666666;0.23958333333333334;0.0
0.09;1.0;0.7544483985765125;0.24555160142348753;0.0
0.09999999999999999;1.0;0.7509025270758123;0.2490974729241877;0.0
0.11;0.967741935483871;0.7453183520599251;0.2546816479400749;0.03225806451612903
0.12;0.9761904761904762;0.734375;0.265625;0.023809523809523808
0.13;0.9777777777777777;0.7312252964426877;0.26877470355731226;0.022222222222222223
0.14;0.9636363636363636;0.7242798353909465;0.2757201646090535;0.03636363636363636
0.15000000000000002;0.9666666666666667;0.7184873949579832;0.2815126050420168;0.03333333333333333
0.16;0.971830985915493;0.7048458149779736;0.29515418502202645;0.028169014084507043
0.17;0.9404761904761905;0.7009345794392523;0.29906542056074764;0.05952380952380952
0.18000000000000002;0.9333333333333333;0.6787564766839378;0.32124352331606215;0.06666666666666667
0.19;0.9298245614035088;0.6684782608695652;0.33152173913043476;0.07017543859649122
0.2;0.9230769230769231;0.6488095238095238;0.35119047619047616;0.07692307692307693
0.21000000000000002;0.9;0.6518987341772152;0.34810126582278483;0.1
0.22;0.8859060402684564;0.6510067114093959;0.348993288590604;0.11409395973154363
0.23;0.8867924528301887;0.6330935251798561;0.3669064748201439;0.11320754716981132
0.24000000000000002;0.8902439024390244;0.6194029850746269;0.3805970149253731;0.10975609756097561
0.25;0.884393063583815;0.608;0.392;0.11560693641618497
0.26;0.8756756756756757;0.5929203539823009;0.40707964601769914;0.12432432432432433
0.27;0.8615384615384616;0.5922330097087378;0.4077669902912621;0.13846153846153847
0.28;0.8544600938967136;0.5529411764705883;0.4470588235294118;0.14553990610328638
0.29000000000000004;0.8409090909090909;0.5641025641025641;0.4358974358974359;0.1590909090909091
0.3;0.8376068376068376;0.515625;0.484375;0.1623931623931624
0.31;0.8333333333333334;0.5;0.5;0.16666666666666666
0.32;0.8285714285714286;0.49056603773584906;0.5094339622641509;0.17142857142857143
0.33;0.8225806451612904;0.5;0.5;0.1774193548387097
0.34;0.8134920634920635;0.5217391304347826;0.4782608695652174;0.1865079365079365
0.35000000000000003;0.8122605363984674;0.4594594594594595;0.5405405405405406;0.18773946360153257
0.36000000000000004;0.8068181818181818;0.47058823529411764;0.5294117647058824;0.19318181818181818
0.37;0.8082706766917294;0.4375;0.5625;0.19172932330827067
0.38;0.8051470588235294;0.38461538461538464;0.6153846153846154;0.1948529411764706
0.39;0.8014440433212996;0.3333333333333333;0.6666666666666666;0.19855595667870035
