"gene";"mean";"sd"
"ADIPOR1";-8.01020109804515e-06;7.8459721149356e-05
"ADIPOR2";5.54093125957785e-05;7.58578465702483e-05
"ADK";7.69034512462075e-05;8.14968123578326e-05
"ADORA1";-1.09478938186215e-06;2.65893944988433e-05
"ADORA3";-0.000165161474231996;7.27915271452578e-05
"ADPRH";-4.22583584170221e-05;3.75249710668973e-05
"ADPRHL1";3.93463977923972e-06;9.70807107105077e-06
"ADRA1A";7.79758369532702e-06;3.47009886137022e-05
"ADRA1B";3.43613181770715e-08;8.38844828398932e-07
"ADRA1D";3.34918828434661e-06;1.03596728129633e-05
"ADRB1";0;0
"ADRB2";-1.44419839745277e-06;6.31511962960913e-06
"ADRBK1";1.64910851893581e-06;2.21590081975155e-05
"AEN";9.88097451620793e-06;3.10328157078275e-05
"AFAP1L1";7.75097446947717e-06;1.66380790893856e-05
"AFF1";2.01186644763319e-05;1.00552439968222e-05
"AFF3";8.04296830027779e-06;3.93858848564592e-05
"AFF4";-0.000125061510342842;5.80277386202617e-05
"AFP";1.79467430416167e-05;5.41558819617404e-05
"AG2";-2.1407586971916e-06;1.21265006256923e-05
"AGA";1.97289799939943e-06;6.07731256289491e-06
"AGAP11";2.26519403303866e-06;3.29249095645961e-05
"AGAP3";0.000163224702669764;0.000131558527803781
"AGAP7";-1.27095379762167e-05;3.29732528453432e-05
"AGAP8";1.05759393717986e-05;4.97259536106357e-05
"AGBL5";0;0
"AGER";2.43413626957629e-07;5.43517700986432e-06
"AGL";6.86980757760426e-05;0.000304053094318516
"AGPAT2";-3.04107939717905e-06;6.81307741709124e-06
"AGPAT6";0;0
"AGPAT9";1.24725827813675e-05;8.31303372554379e-05
"AGPS";-2.45287498803424e-06;4.30891952270472e-06
"AGRN";0;0
"AGXT2L1";-9.58535965400847e-07;4.60726617232423e-06
"AHCY";-6.06343331283198e-05;4.91036067761018e-05
"AHCYL2";0.000114810808513018;0.000196016340511387
"AHR";1.79984499122333e-06;4.89787735701303e-06
"AHRR";0.000277730189606755;0.00106226351583444
"AICDA";-7.5054409604323e-07;9.9562401529136e-06
"AIDA";-4.60881268229934e-05;4.34578384536208e-05
"AIF1L";-0.000118050052116402;0.000149174140536826
"AIFM1";0;0
"AIFM2";0;0
"AIFM3";0;0
"AIG1";3.68523265157079e-05;9.29094522475571e-05
"AIP";-9.46469400021591e-06;7.80228252963227e-06
"AIRE";-4.44632662817762e-08;7.67254317305522e-07
"AJAP1";-5.83664502243082e-05;0.000226300372704488
"AK1";-3.38297665034607e-06;4.55529394447489e-06
"AK3";5.30309841562096e-06;1.24693763308605e-05
"AK7";0;0
"AKAP1";6.55089836252442e-07;1.44966357552322e-05
"AKAP12";0;0
"AKAP14";1.75151965708631e-07;6.95043257941768e-06
"AKAP2";5.67592419861479e-06;1.19396481513869e-05
"AKAP3";4.09439292175906e-05;6.60170616728757e-05
"AKAP6";0;0
"AKAP9";0;0
"AKR1B1";-2.03860448699838e-05;9.26678188261748e-06
"AKR1B15";-2.26737204154723e-06;2.03597707330525e-05
"AKR1C3";-3.01620994196622e-06;4.22082586190229e-06
"AKR7A2";-1.21686631370084e-05;6.18946657373817e-05
"AKT1";0;0
"AKT2";0;0
"AKT3";5.71886600115011e-05;0.000121698397001146
"AKTIP";-1.99377016162581e-07;2.88565696111583e-06
"ALAS1";-5.23696180572689e-06;4.98699938217527e-05
"ALAS2";1.64476939581955e-06;2.60585805338397e-05
"ALCAM";-1.5951587391017e-05;4.30394051873961e-05
"ALDH18A1";6.29738303057159e-05;4.27421283872246e-05
"ALDH1A2";3.25426631311416e-06;2.08632771139003e-05
"ALDH1B1";-6.92937509751406e-06;2.38815641004016e-05
"ALDH1L1";-1.76415687770768e-06;2.41779674502873e-05
"ALDH2";0.000991466802231542;0.00435408471814024
"ALDH3A1";2.1305026597576e-06;2.19376226157042e-05
"ALDH3A2";-9.01037613684701e-05;0.000162665882641009
"ALDH3B1";0;0
"ALDH5A1";7.46380525418094e-05;0.000803062185108405
"ALDH9A1";3.52940638865937e-05;2.57797382317935e-05
"ALDOC";1.23207314629966e-07;1.23980265715459e-06
"ALG1";-4.07546371833481e-07;8.96632129419883e-06
"ALG11";-7.46170296703031e-07;6.56200611754566e-06
"ALG12";2.15754125447711e-05;3.41988510435781e-05
"ALG14";-1.82474563877645e-05;2.18992865538447e-05
"ALG1L";7.26255382127174e-07;4.82626199687352e-06
"ALG3";0;0
"ALG5";-1.11990465267707e-05;3.31981479165223e-05
"ALG6";3.32466953957058e-06;2.09728804779311e-05
"ALG8";-1.27847851750098e-05;2.40014121350655e-05
"ALG9";0.000525612157155619;0.000174953271145485
"ALK";-2.20089574061791e-06;2.43799626565084e-05
"ALKBH3";0;0
"ALKBH5";-8.01887606651667e-06;2.3551254342421e-05
"ALOX12";-2.66182633345029e-06;8.75965574617038e-06
"ALOX12B";6.60877600280759e-05;0.000200070332829132
"ALOX12P2";5.52887364941571e-07;2.76741308590301e-06
"ALOX15";-9.91193554260312e-09;5.29523762013427e-07
"ALOX15B";9.50204638312174e-06;3.60227003953613e-05
"ALOX5";5.56825804559035e-07;1.37245893542959e-06
"ALPK3";2.00260147327334e-05;0.000158452629337017
"ALPP";-1.15232515805575e-06;5.39689925968179e-05
"ALS2CL";-1.97433806262077e-05;7.28935626324378e-05
"ALS2CR11";-3.01881158612532e-05;0.00029845605134088
"ALS2CR4";-9.34030538522364e-05;0.000160982882695829
"AMDHD2";-5.91624425454845e-08;3.16062579421906e-06
"AMELX";6.46992492375196e-07;4.32661888986946e-06
"AMH";-3.15112168494251e-06;1.59567823434521e-05
"AMIGO2";0;0
"AMN";-5.28595611877622e-06;0.000156233809827837
"AMOT";0;0
"AMOTL1";7.26874085139181e-06;8.40467664336457e-06
"AMPD2";1.10215366762652e-05;9.55944248433875e-06
"AMPD3";-6.71109217280674e-05;5.93539801235223e-05
"AMT";-7.05064166047831e-06;1.60719757768863e-05
"AMTN";0.000272958350213076;0.000877299058147091
"AMY1A";2.10217822254871e-05;0.000127185961779986
"AMY2B";6.23898938752931e-06;1.45673478975967e-05
"AMZ2P1";0;0
"ANAPC16";1.36683439838105e-06;5.02360420570723e-06
"ANGEL1";0.000104173660273597;6.16747586584626e-05
"ANGPT2";-3.77057792374969e-06;2.82514531902433e-05
"ANGPT4";2.94140067830337e-07;7.06048514535686e-06
"ANGPTL6";-2.69042282896232e-05;0.000112410636958851
"ANGPTL7";0;0
"ANK1";0;0
"ANK3";-3.99907535140579e-06;2.7316496137768e-05
"ANKDD1A";-6.37730539370373e-05;0.000182251920799061
"ANKFN1";2.67493987011694e-06;1.51795343528217e-05
"ANKHD1";-1.36530558938728e-06;1.57986111818117e-05
"ANKHD1.EIF4EBP3";-3.30681166417065e-06;3.79406135588657e-06
"ANKK1";-2.77309022202975e-06;7.58627558770794e-06
"ANKLE1";-0.000194201143337132;0.000537742705361765
"ANKMY2";1.38151332920745e-06;2.93705495054167e-06
"ANKRD13A";-8.74089907378774e-07;3.14527903373852e-06
"ANKRD19";0;0
"ANKRD2";-4.95756731359623e-06;1.59893380524795e-05
"ANKRD22";-0.000114860291453663;8.11479930080267e-05
"ANKRD23";1.56397042573067e-05;0.000101790982365952
"ANKRD24";1.09788071796706e-06;5.83958611344444e-06
"ANKRD29";-1.20885382659622e-05;4.28264928474667e-05
"ANKRD30B";-2.25286018435876e-07;2.31155114335183e-06
"ANKRD34A";-3.81592259864731e-07;5.24241995113623e-06
"ANKRD34B";3.87884482322329e-06;1.3253673364211e-05
"ANKRD35";0.000295447868459282;0.000195263589810523
"ANKRD39";-2.73215854694821e-05;7.82261268526349e-05
"ANKRD45";-3.30470585301045e-05;0.00013305423425916
"ANKRD49";-2.13236454728301e-06;2.21930021462584e-05
"ANKRD5";2.65007122040493e-07;4.49223263788398e-06
"ANKRD50";0;0
"ANKRD53";0;0
"ANKRD54";-7.47107412167142e-05;0.000214038116543406
"ANKRD57";4.34390893307444e-05;1.76231857736037e-05
"ANKRD58";0.00095078328033571;0.000307632399481203
"ANKRD7";-1.93244977966397e-07;3.06822246094908e-06
"ANKS1A";-2.18320701408004e-05;0.000139257028308659
"ANKS3";-7.02165935698794e-06;2.13633953229958e-05
"ANO1";1.31814556813457e-08;5.01779284184413e-07
"ANO10";1.92330273018858e-05;1.15791242805229e-05
"ANO2";1.9048398896734e-07;3.04344545310262e-06
"ANO4";3.67362343410767e-06;1.38232482299626e-05
"ANP32A";-6.90614049875932e-06;2.56669105858171e-06
"ANXA10";1.46152140100814e-05;0.000103910082960972
"ANXA13";-2.71028443651474e-05;0.000127487284335173
"ANXA3";3.13118606870257e-05;8.29520952441778e-05
"ANXA5";3.86137391235541e-06;2.5562694356873e-06
"ANXA6";-3.93476179788469e-06;7.13115970717082e-06
"ANXA7";1.10752544171381e-07;1.81903144054438e-06
"AOC2";7.8745116458103e-07;2.0284222260648e-05
"AP1M1";0.00025014739340349;0.00015470142963907
"AP1S1";0;0
"AP2M1";-1.86988093285554e-06;1.66220327334443e-05
"AP3B2";-7.09837520522652e-07;1.40968449006387e-06
"AP3S1";0;0
"AP3S2";1.45273343159428e-05;7.63578069829187e-06
"AP4B1";2.49314540446051e-06;9.80047171897509e-06
"APBA1";-1.99370172599306e-06;1.63930901664104e-05
"APBA3";0;0
"APBB1";-0.000270597254492145;0.000424938529634611
"APC";-5.54569307239332e-05;0.000159801249278676
"APCDD1";-3.38663720930498e-05;4.42878039138609e-05
"APEH";0.000104301067155195;3.07964854822516e-05
"APLF";-1.75446738130014e-05;7.3674050863215e-05
"APLNR";1.40467828305469e-06;8.55582040240648e-06
"APLP2";4.46559163082622e-07;5.30112611718502e-06
"APOA1BP";-6.69813045309693e-05;0.000104462119040117
"APOBEC1";4.13898362019684e-08;4.00184311438958e-07
"APOBEC3B";-0.00046321825587355;0.000387085706907167
"APOBEC3F";3.5183239401799e-06;6.97047166961709e-06
"APOC1";0;0
"APOD";0;0
"APOL4";3.75644841175025e-05;2.0322780557304e-05
"APOL5";2.39598174082033e-06;1.36715442967831e-05
"APOO";-1.81815593340262e-06;8.27008332943856e-06
"APP";-2.94367034392015e-09;2.84333650770349e-07
"APTX";0;0
"AQP10";8.09153594523746e-06;5.49887482343293e-05
"AQP12A";1.86563557056398e-06;1.13915250596951e-05
"AQP5";-1.3260338452313e-06;1.33546679498586e-05
"AQP8";3.49753220641175e-06;2.48466899955371e-05
"AR";3.08637484798287e-07;7.13547278448853e-06
"ARAF";-9.02925120460397e-06;2.93932206647652e-05
"ARAP1";-2.13693360021478e-05;0.000160639218363726
"ARAP2";6.35929736097941e-07;1.99309655715943e-05
"ARAP3";-1.31047891726663e-07;8.78047138734599e-07
"ARCN1";1.97407655729429e-06;8.51088190021835e-06
"AREG";-2.20765792105154e-07;1.65660378348191e-06
"ARFGEF2";0.00107983631347675;0.00330675131274732
"ARFRP1";-0.000131452441419949;0.000348904922189192
"ARG2";0;0
"ARHGAP17";-1.03351425943559e-06;2.24057008870927e-06
"ARHGAP18";-2.66647723674895e-05;4.76258772399968e-05
"ARHGAP20";-1.23799125929916e-06;4.33358407293927e-06
"ARHGAP23";3.96939477153936e-06;1.51062085033242e-05
"ARHGAP24";0.000137357801503082;0.000112176221953403
"ARHGAP26";0;0
"ARHGAP36";1.29365307621322e-07;3.45850757860033e-06
"ARHGAP39";6.79298237943581e-06;7.75213165240244e-06
"ARHGAP4";-0.00033507227141856;0.000279667076973137
"ARHGAP42";-1.09543429939537e-05;4.41910474454289e-06
"ARHGAP5";-6.45491319780921e-05;3.07670709140948e-05
"ARHGDIB";6.08482127475629e-05;3.32269825258018e-05
"ARHGEF1";0;0
"ARHGEF10";-2.1138273967788e-05;2.33112523387905e-05
"ARHGEF10L";-1.39883478148415e-06;1.21772106736009e-05
"ARHGEF12";-4.69433219576725e-06;2.69329010930574e-05
"ARHGEF18";6.89297808066955e-06;0.000104152705544139
"ARHGEF19";3.58714826209397e-06;1.15570285621188e-05
"ARHGEF2";-2.23165050433351e-05;0.00011368048174786
"ARHGEF37";1.13391914888036e-05;1.03894512094977e-05
"ARHGEF4";0;0
"ARHGEF5";4.34887389272056e-06;3.36813504352234e-05
"ARID1A";3.71810883820392e-06;1.01145405142284e-05
"ARID1B";5.65265309889399e-07;1.76380410728199e-06
"ARID2";0;0
"ARID3B";0;0
"ARID5A";9.54802232387245e-06;2.06819574965597e-05
"ARIH2";0;0
"ARL10";1.66644651545741e-05;7.92121794945087e-05
"ARL17A";-3.81295060359983e-08;1.48475503227754e-06
"ARL4C";-0.0081280507067364;0.00835644196064572
"ARL4D";0;0
"ARL6IP4";-7.46951911186468e-07;4.81148451805255e-06
"ARL8A";-0.000121616060036375;0.000119624186774838
"ARMC3";-5.31438219843487e-07;1.3215349804653e-05
"ARMC4";-0.000239633577468252;0.000917547514961301
"ARMC6";-2.2791294288768e-06;1.4773338923023e-05
"ARMC9";1.99007916103769e-07;7.45080753702739e-07
"ARMCX2";0;0
"ARNT";-7.58144176951545e-05;6.74044329882286e-05
"ARNTL2";0;0
"ARPC1A";3.47624786662607e-05;6.01198635567777e-05
"ARPC4";-2.46059828106624e-07;6.32321817419295e-06
"ARPC5";6.01192727421696e-08;7.58502413061505e-06
"ARPC5L";2.59542767165038e-08;9.37525479573505e-06
"ARRB1";-5.61678950092993e-06;3.1769751937611e-05
"ARRB2";1.63708155082339e-05;7.73654207461654e-05
"ARRDC3";-1.32238277499061e-05;1.33884162659735e-05
"ARSE";1.19330583415924e-06;5.06693875230385e-06
"ARSF";-6.34559872531227e-06;3.53218988750988e-05
"ARSI";2.65434755738959e-06;8.48151965568567e-06
"ART5";7.62557004025488e-06;4.40625854995914e-05
"ARTN";9.1076241529217e-05;0.000186871077349186
"ARV1";0.00153723621306998;0.00248227478705619
"ARVCF";-6.93593879787697e-05;9.73526545859811e-05
"ARX";1.5719371410774e-07;2.35886753381424e-06
"AS3MT";3.64390643463357e-07;5.43468999934414e-06
"ASAH1";0.000462490353575331;0.00179919787650175
"ASAP3";1.9410533695072e-07;0.000119462456596303
"ASB11";1.50113072230509e-06;1.38381753717076e-05
"ASB16";-2.02583847350702e-05;2.6475117614629e-05
"ASB4";-4.2306861551182e-05;0.000314405404726135
"ASB9";-0.000121035045423798;9.44639854249477e-05
"ASCL2";0;0
"ASCL3";-5.65372356976555e-06;3.8872521196943e-05
"ASCL4";1.4794758915424e-06;1.44332871604196e-05
"ASL";0;0
"ASNS";9.24337503573658e-05;7.03569088304501e-05
"ASPA";7.27130215053234e-07;2.26196097680828e-06
"ASPG";1.3417300177793e-07;1.28710780662331e-06
"ASPH";0;0
"ASPHD1";-5.08204985099219e-05;0.00011919222034096
"ASPSCR1";-2.38456866543395e-05;0.000125079092882081
"ASS1";2.03110299831083e-06;1.13050718570949e-05
"ASTN2";-2.04560965493178e-05;2.72914802876762e-05
"ASXL1";0.00021584872804457;0.000430451391761786
"ASXL2";-3.7850686729848e-05;0.000111139108586408
"ASXL3";-3.0306703381281e-06;1.86385824782613e-05
"ATAD3C";9.4040716601727e-06;2.6947538067804e-05
"ATF1";0;0
"ATF5";1.1601949112556e-06;1.01214759755546e-05
"ATF6B";-7.11273557994489e-05;7.36811880815694e-05
"ATG10";-4.32188771627148e-07;1.80597169129765e-05
"ATG16L2";0;0
"ATG3";-3.15388357221422e-07;5.93646599375311e-06
"ATG9A";-3.99945337217144e-05;4.51052441165165e-05
"ATG9B";0.000368443886197891;0.000234540688964305
"ATIC";-0.000330822376924868;0.000229975508110935
"ATM";-0.00019379515363957;0.000495814112553028
"ATOH1";3.82150815110215e-07;6.87761838877427e-06
"ATOX1";-1.08836494881583e-06;6.70878372493778e-06
"ATP10A";-1.37108511186401e-05;0.000106239850753714
"ATP10D";-8.94880100697406e-06;2.94145545319065e-05
"ATP11A";-2.68716487388921e-07;8.15645503475164e-06
"ATP12A";-7.3222683592156e-07;5.98277673696749e-06
"ATP13A2";-2.85127929562771e-08;1.52323442044424e-06
"ATP13A4";-0.000363682597419951;0.00152084787648661
"ATP1A1";7.54053630642076e-05;2.83833489458713e-05
"ATP1A4";-1.67212973702983e-07;4.34636630801701e-06
"ATP1B1";-8.51364712969579e-05;5.01309828713899e-05
"ATP2A1";9.33945521253204e-05;0.000146065757485823
"ATP2B3";-1.49374572309185e-06;5.26086316005572e-06
"ATP2B4";1.19582690238059e-07;2.08019342107795e-06
"ATP4B";-2.11986748608646e-06;1.10570538722392e-05
"ATP5B";-0.00034487196756675;0.000466750913539713
"ATP5E";-2.30616344040559e-06;1.93539435831496e-05
"ATP5EP2";1.71898048066665e-05;5.77770051201599e-05
"ATP5F1";1.88283956252453e-06;1.46955354230772e-05
"ATP5G2";-2.54921952898971e-05;3.9214107409572e-05
"ATP5G3";5.02568422298195e-08;2.68486331958735e-06
"ATP5J";0.000117409805303387;0.000405268785152085
"ATP5S";-1.56773383622923e-05;7.42078863373335e-06
"ATP6AP1";1.07102216836703e-06;1.32098752051347e-05
"ATP6AP2";-4.32982744786456e-08;1.56979343981343e-06
"ATP6V0A1";-2.0179407393558e-05;5.61794089998011e-05
"ATP6V0B";-0.00427652398483478;0.00393394034756469
"ATP6V0C";2.78430070878006e-06;5.79833053176707e-06
"ATP6V0D1";-4.31424441720138e-05;0.000196646686531528
"ATP6V0E2";-0.000508450910536258;0.000398113826373343
"ATP6V1C1";2.0972624904126e-05;2.99985969788751e-05
"ATP6V1E1";3.96429869182661e-06;1.69356091480117e-05
"ATP8A1";-2.03614369529335e-06;5.93295263447528e-06
"ATP8A2";3.29736479349219e-07;1.75431083298283e-06
"ATP8B3";0;0
"ATPIF1";4.35835060284058e-05;2.83841211637594e-05
"ATR";0.000184418439665646;0.000247014875971087
"ATRIP";-6.85610193467622e-05;6.90634661609916e-05
"ATRN";0.000224187901522555;0.000110479649658678
"ATRX";2.04016122375753e-06;2.95621105477465e-05
"ATXN1";-0.000256741623579096;0.000110402515599251
"ATXN7L1";0;0
"AUH";-1.24939133050595e-06;7.43860650057504e-06
"AUP1";-9.32896419359473e-05;0.000303122304701291
"AURKAPS1";-1.60964999752671e-07;8.7678561421629e-06
"AUTS2";-2.1459841574975e-05;1.92576375884209e-05
"AVPI1";-2.88089735957715e-07;1.76176495589308e-06
"AVPR1A";3.9778986728196e-07;5.22432475028803e-06
"AVPR1B";-3.07272360207522e-07;3.61651102236641e-06
"AVPR2";3.76818447961073e-06;4.38223997012157e-05
"AWAT1";1.79310013469189e-06;1.46481961173487e-05
"AXIN1";1.90457175062826e-05;5.65324542494144e-05
"AXIN2";-8.11719027002394e-05;0.000153691743557014
"AXL";0.000182100119510062;0.000840120518835152
"B2M";0;0
"B3GALT1";-3.2046934946843e-06;3.26799437603323e-05
"B3GALT4";0;0
"B3GALT5";-1.65149686433908e-06;1.45854555865206e-05
"B3GALTL";0;0
"B3GAT3";0;0
"B3GNT4";3.33562962365178e-06;7.12839615637425e-06
"B3GNT6";-1.5381126168038e-06;5.79533399918183e-06
"B3GNT7";2.81649971736417e-09;4.36141764219186e-08
"B3GNT8";9.82885532620947e-06;7.32770444603123e-05
"B4GALNT2";-1.12587598578591e-08;1.05878370607377e-06
"B4GALT3";6.16512671007013e-05;0.000299173529691985
"B4GALT6";-2.99265579935198e-05;3.5712890845606e-05
"B4GALT7";0;0
"BAALC";2.06138663571035e-08;1.10125131626802e-06
"BACE1";-1.56751395596922e-05;2.88917278157121e-05
"BACE2";-0.000885670381408963;0.000576189782045235
"BACH1";0;0
"BAG1";8.58599666553882e-05;6.70043492385998e-05
"BAG2";0;0
"BAGE";-6.46832632600127e-06;2.9347551727838e-05
"BAGE2";-7.34671273105977e-08;5.41663743020018e-07
"BAHCC1";9.32447893470747e-09;3.52179550103402e-07
"BAIAP2L2";-9.95951660832979e-07;7.94818438935494e-06
"BAIAP3";-9.51658052566954e-07;4.88400827085064e-06
"BAK1";-7.86294553205268e-06;2.5771064911718e-05
"BAMBI";5.8979416699987e-05;0.000361623386409035
"BANK1";5.34250353280502e-05;0.000119811047340582
"BANP";3.14622720237307e-07;6.59555872657212e-07
"BAP1";8.99450617436118e-07;2.64858842658694e-06
"BARD1";-6.09258454726218e-06;1.64848690086538e-05
"BARHL1";4.0119556878785e-07;7.14589836004189e-06
"BARX1";-2.3875167423088e-06;1.12575655823178e-05
"BASP1";2.41164821373522e-05;0.000231369085284927
"BAT3";6.86275227714742e-05;3.16245204817621e-05
"BATF3";2.62232204310226e-05;5.3417241791729e-05
"BAX";0;0
"BAZ1A";-1.89129308957688e-06;1.10488946037769e-05
