"prob";"tp1";"fp1";"tp2";"fp2"
0.01;NA;0.693693693693694;0.306306306306306;NA
0.02;NA;0.693693693693694;0.306306306306306;NA
0.03;NA;0.693693693693694;0.306306306306306;NA
0.04;NA;0.693693693693694;0.306306306306306;NA
0.05;NA;0.693693693693694;0.306306306306306;NA
0.06;NA;0.693693693693694;0.306306306306306;NA
0.07;NA;0.693693693693694;0.306306306306306;NA
0.08;NA;0.693693693693694;0.306306306306306;NA
0.09;NA;0.693693693693694;0.306306306306306;NA
0.1;NA;0.693693693693694;0.306306306306306;NA
0.11;NA;0.693693693693694;0.306306306306306;NA
0.12;1;0.690909090909091;0.309090909090909;0
0.13;1;0.688073394495413;0.311926605504587;0
0.14;1;0.679245283018868;0.320754716981132;0
0.15;1;0.679245283018868;0.320754716981132;0
0.16;1;0.666666666666667;0.333333333333333;0
0.17;1;0.663366336633663;0.336633663366337;0
0.18;1;0.649484536082474;0.350515463917526;0
0.19;1;0.638297872340426;0.361702127659574;0
0.2;1;0.638297872340426;0.361702127659574;0
0.21;1;0.617977528089888;0.382022471910112;0
0.22;1;0.564102564102564;0.435897435897436;0
0.23;1;0.527777777777778;0.472222222222222;0
0.24;1;0.5;0.5;0
0.25;1;0.451612903225806;0.548387096774194;0
0.26;1;0.413793103448276;0.586206896551724;0
0.27;1;0.333333333333333;0.666666666666667;0
0.28;1;0.244444444444444;0.755555555555556;0
0.29;1;0.19047619047619;0.80952380952381;0
0.3;1;0.170731707317073;0.829268292682927;0
0.31;1;0.15;0.85;0
0.32;1;0.128205128205128;0.871794871794872;0
0.33;1;0.0810810810810811;0.918918918918919;0
0.34;1;0.0285714285714286;0.971428571428571;0
0.35;1;0.0285714285714286;0.971428571428571;0
0.36;0.987179487179487;0;1;0.0128205128205128
0.37;0.987179487179487;0;1;0.0128205128205128
0.38;0.9625;0;1;0.0375
0.39;0.9625;0;1;0.0375
0.4;0.9625;0;1;0.0375
0.41;0.939024390243902;0;1;0.0609756097560976
0.42;0.916666666666667;0;1;0.0833333333333333
0.43;0.905882352941176;0;1;0.0941176470588235
0.44;0.895348837209302;0;1;0.104651162790698
0.45;0.885057471264368;0;1;0.114942528735632
0.46;0.846153846153846;0;1;0.153846153846154
0.47;0.846153846153846;0;1;0.153846153846154
0.48;0.827956989247312;0;1;0.172043010752688
0.49;0.810526315789474;0;1;0.189473684210526
0.5;0.785714285714286;0;1;0.214285714285714
0.51;0.77;0;1;0.23
0.52;0.754901960784314;0;1;0.245098039215686
0.53;0.754901960784314;0;1;0.245098039215686
0.54;0.733333333333333;0;1;0.266666666666667
0.55;0.733333333333333;0;1;0.266666666666667
0.56;0.733333333333333;0;1;0.266666666666667
0.57;0.726415094339623;0;1;0.273584905660377
0.58;0.726415094339623;0;1;0.273584905660377
0.59;0.719626168224299;0;1;0.280373831775701
0.6;0.719626168224299;0;1;0.280373831775701
0.61;0.712962962962963;0;1;0.287037037037037
0.62;0.706422018348624;0;1;0.293577981651376
0.63;0.7;0;1;0.3
0.64;0.693693693693694;NA;NA;0.306306306306306
0.65;0.693693693693694;NA;NA;0.306306306306306
0.66;0.693693693693694;NA;NA;0.306306306306306
0.67;0.693693693693694;NA;NA;0.306306306306306
0.68;0.693693693693694;NA;NA;0.306306306306306
0.69;0.693693693693694;NA;NA;0.306306306306306
0.7;0.693693693693694;NA;NA;0.306306306306306
0.71;0.693693693693694;NA;NA;0.306306306306306
0.72;0.693693693693694;NA;NA;0.306306306306306
0.73;0.693693693693694;NA;NA;0.306306306306306
0.74;0.693693693693694;NA;NA;0.306306306306306
0.75;0.693693693693694;NA;NA;0.306306306306306
0.76;0.693693693693694;NA;NA;0.306306306306306
0.77;0.693693693693694;NA;NA;0.306306306306306
0.78;0.693693693693694;NA;NA;0.306306306306306
0.79;0.693693693693694;NA;NA;0.306306306306306
0.8;0.693693693693694;NA;NA;0.306306306306306
0.81;0.693693693693694;NA;NA;0.306306306306306
0.82;0.693693693693694;NA;NA;0.306306306306306
0.83;0.693693693693694;NA;NA;0.306306306306306
0.84;0.693693693693694;NA;NA;0.306306306306306
0.85;0.693693693693694;NA;NA;0.306306306306306
0.86;0.693693693693694;NA;NA;0.306306306306306
0.87;0.693693693693694;NA;NA;0.306306306306306
0.88;0.693693693693694;NA;NA;0.306306306306306
0.89;0.693693693693694;NA;NA;0.306306306306306
0.9;0.693693693693694;NA;NA;0.306306306306306
0.91;0.693693693693694;NA;NA;0.306306306306306
0.92;0.693693693693694;NA;NA;0.306306306306306
0.93;0.693693693693694;NA;NA;0.306306306306306
0.94;0.693693693693694;NA;NA;0.306306306306306
0.95;0.693693693693694;NA;NA;0.306306306306306
0.96;0.693693693693694;NA;NA;0.306306306306306
0.97;0.693693693693694;NA;NA;0.306306306306306
0.98;0.693693693693694;NA;NA;0.306306306306306
0.99;0.693693693693694;NA;NA;0.306306306306306
1;0.693693693693694;NA;NA;0.306306306306306
