"gene";"mean";"sd";"se"
"ADORA3";0.000144048519922431;6.26206649295281e-05;2.46646774160656e-08
"ADPRH";-1.2541849025545e-05;3.46580097357842e-05;1.35643972152215e-09
"ADPRHL1";-2.25424062514628e-05;7.11473318203527e-05;5.56152334065092e-09
"ADRA1A";1.99785927578203e-05;6.62041661307247e-05;4.77470698230324e-09
"ADRA1B";-2.33897063701089e-05;5.12999841690479e-05;3.17430625105203e-09
"ADRA1D";3.0936974856673e-07;1.84063909261236e-05;3.38316707368436e-10
"ADRB1";-1.25634962280947e-05;4.34061123757257e-05;2.03873865516345e-09
"ADRB2";-3.30975217138645e-05;0.000122728676958269;1.61322447217846e-08
"ADRBK1";0.000169902768275512;0.000823894695599164;7.06518907444059e-07
"AEN";-2.34642864623428e-05;2.89406799115715e-05;1.38671609470424e-09
"AFAP1L1";5.02051419539147e-06;7.38584905125784e-06;7.96638700683174e-11
"AFF1";-5.86067441232203e-06;3.24202386233985e-05;1.08363789921552e-09
"AFF3";-3.09501270247399e-05;5.58494397865742e-05;4.07178357558532e-09
"AFF4";-0.000499540678192359;0.000415772784696666;4.22114902733651e-07
"AFP";5.36711721985516e-05;0.000218723232826432;5.06393628073174e-08
"AG2";-3.63668709272414e-06;1.51766268567201e-05;2.43165105923339e-10
"AGA";-1.55834273124988e-06;3.29542759118872e-06;1.3269868563233e-11
"AGAP11";3.87286923486304e-05;0.000306562483548453;9.53211788519229e-08
"AGAP3";-0.0201750390546898;0.0211446521998007;0.000853370727141591
"AGAP7";-9.51252965320513e-08;1.77658912467957e-06;3.15996813163454e-12
"AGAP8";2.94786225403209e-05;8.48798026611861e-05;8.06135893260914e-09
"AGBL5";-0.000196962095730042;0.000367279174596782;1.73459425361961e-07
"AGER";1.63979852760297e-06;4.01709435960877e-05;1.61365855588339e-09
"AGL";1.15434824260522e-05;0.000102088801641945;1.05377107912417e-08
"AGPAT2";-1.68674834884794e-05;0.000193454152036746;3.76455895684054e-08
"AGPAT6";9.03028277726249e-05;0.000696333037077509;4.92212469231818e-07
"AGPAT9";1.52431300126315e-05;0.000117361214360916;1.39826624715014e-08
"AGPS";2.04904626019068e-05;1.11843698532026e-05;5.44737169485551e-10
"AGRN";-0.000141422413676007;7.43303316754727e-05;2.55159328931929e-08
"AGXT2L1";-1.16663706113731e-05;3.50422593992504e-05;1.36198285900592e-09
"AHCY";-2.76460007027708e-05;8.04965845336603e-05;7.23301893386336e-09
"AHCYL2";7.42533642215942e-05;0.000141677855953111;2.5552155584564e-08
"AHR";3.16006287860895e-05;1.79951054779079e-05;1.32187470690309e-09
"AHRR";-0.00013209602776553;0.00028060567036769;9.60554459426742e-08
"AICDA";-6.86181958561529e-06;2.61414806406335e-05;7.29303311991362e-10
"AIDA";-0.00108070174440561;0.00116574161173744;2.52456645467152e-06
"AIF1L";-1.89089551934344e-06;2.87647925318061e-06;1.1835594804994e-11
"AIFM1";2.10520317886745e-06;8.98171600023623e-06;8.49663718479437e-11
"AIFM2";0;0;0
"AIFM3";9.23304429700238e-06;2.03146158949768e-05;4.97233262189902e-10
"AIG1";0.00040422375925375;0.000238296301125728;2.2008572869725e-07
"AIP";-5.59081427717464e-07;4.03930506857738e-06;1.66009032672484e-11
"AIRE";1.37248878941699e-06;8.22114787019967e-06;6.93564430819441e-11
"AJAP1";-2.39596581526234e-05;0.000120232908192947;1.50055158174047e-08
"AK1";-8.84040572079119e-05;8.28577064674449e-05;1.46690405814904e-08
"AK3";-1.18298753704232e-05;1.42974346279078e-05;3.44016119342873e-10
"AK7";-3.50767303838167e-07;4.78473840975851e-06;2.29779564332098e-11
"AKAP1";-3.16344634672973e-06;5.27789556348991e-06;3.78163605006609e-11
"AKAP12";-0.00015269107789698;0.000527012466385944;3.00585955606171e-07
"AKAP14";-2.51584626623987e-06;9.01611796764331e-06;8.74820853312941e-11
"AKAP2";3.41316325291414e-05;7.76509603406687e-05;7.18442019848866e-09
"AKAP3";0.000626238264944791;0.00161112954917171;2.98351323204408e-06
"AKAP6";-0.000171309283700997;0.000104417277060572;4.02313588245393e-08
"AKAP9";1.44247061542807e-06;1.20987924336952e-05;1.48213396815855e-10
"AKR1B1";-3.13686817972397e-06;1.38537686641451e-05;2.01441548335598e-10
"AKR1B15";1.03443188306979e-05;6.67374828642662e-05;4.55334758228349e-09
"AKR1C3";-2.29594802784495e-05;3.58688764868647e-05;1.81153339728913e-09
"AKR7A2";5.54221019303746e-06;1.4065403116594e-05;2.28216344139436e-10
"AKT1";-9.68800946697753e-05;0.000277212616974897;8.6102338880397e-08
"AKT2";0;0;0
"AKT3";0.000326060887310253;0.000205347636073401;1.48411883278482e-07
"AKTIP";-4.41039238599176e-07;1.14349329821776e-05;1.30730584709577e-10
"ALAS1";0.000153820542674315;0.000126378146460205;3.96051250209941e-08
"ALAS2";0;0;0
"ALCAM";-1.31302128432255e-05;2.13839480293073e-05;6.28900683250012e-10
"ALDH18A1";0.000270171324665719;0.000160764141993588;9.87938487524777e-08
"ALDH1A2";-4.62747504356003e-07;7.40676389769131e-06;5.49813033814122e-11
"ALDH1B1";1.00590389557718e-05;1.89662107306641e-05;4.60291724109829e-10
"ALDH1L1";9.34718836911545e-07;7.05742752490596e-06;5.05965634491923e-11
"ALDH2";6.15981946522681e-05;7.25224664371043e-05;9.04493130196655e-09
"ALDH3A1";1.37841845242158e-06;1.16991539328638e-05;1.38538256780337e-10
"ALDH3A2";-7.57984550387795e-06;5.61759425423778e-06;8.89579360082342e-11
"ALDH3B1";6.479134166414e-06;1.44705581031386e-05;2.51021321105388e-10
"ALDH5A1";8.79172224258954e-05;0.000177107969217868;3.90435059582728e-08
"ALDH9A1";-1.31113807198191e-05;8.32709858408523e-05;7.09421274816389e-09
"ALDOC";0;0;0
"ALG1";1.32888037896276e-05;4.00166987576487e-05;1.7752143565019e-09
"ALG11";-2.78322078647877e-05;8.50442875995852e-05;7.99490412107967e-09
"ALG12";2.37555584211164e-06;1.1226391276555e-05;1.31461513329413e-10
"ALG14";2.77646315091881e-05;0.000163865504169589;2.75772665188206e-08
"ALG1L";0.0199428046098917;0.0117291057334397;0.000535054204266548
"ALG3";8.29670887841643e-06;1.12037281050361e-05;1.94146149930107e-10
"ALG5";-2.70356584251441e-05;0.000122363801472846;1.5678448940908e-08
"ALG6";-4.27246480281797e-06;1.38492249993514e-05;2.09729902077229e-10
"ALG8";3.81504828152577e-05;9.82860894726363e-05;1.1099241578142e-08
"ALG9";0;0;0
"ALK";2.59605299868823e-05;0.000117781475170681;1.45229123395758e-08
"ALKBH3";-0.000143394971545895;0.000286503003441317;1.02506963470999e-07
"ALKBH5";4.2690114624734e-07;3.30578034250521e-06;1.10919059163528e-11
"ALOX12";0.000136849784247193;0.000182108249667945;5.18350688683425e-08
"ALOX12B";5.69365270370335e-07;2.71907540198752e-06;7.70501671543868e-12
"ALOX12P2";3.04087853816018e-05;7.75273567232323e-05;6.92499799592564e-09
"ALOX15";7.04762304626538e-07;6.26424427229194e-06;3.96709364525193e-11
"ALOX15B";-4.72724592091173e-06;2.11053657191495e-05;4.67028339081353e-10
"ALOX5";4.66079133009987e-06;4.03753692151572e-05;1.64913041433849e-09
"ALPK3";-3.94511847053017e-05;2.66665445061037e-05;2.26629530852089e-09
"ALPP";-1.36644570913357e-05;3.69798880741286e-05;1.55191169242015e-09
"ALS2CL";6.32947506893788e-06;8.19454890292905e-06;1.07099071740764e-10
"ALS2CR11";5.31493749028423e-08;2.27162093072674e-06;5.15434030277698e-12
"ALS2CR4";-0.000363311020484017;0.000646788505502962;5.49621225454451e-07
"AMDHD2";0.000187672727500782;8.27366907111186e-05;4.20548103323425e-08
"AMELX";7.13818236405017e-07;1.10544088002927e-05;1.2250237183264e-10
"AMH";5.71364478254613e-06;3.05906714996096e-05;9.66848836137471e-10
"AMIGO2";2.66486365971932e-06;3.92979854100207e-05;1.54881564432756e-09
