prob;tp1;fp1;tp2;fp2
0.01;1.0;0.76;0.24;0.0
0.02;1.0;0.75;0.25;0.0
0.03;1.0;0.7413793103448276;0.25862068965517243;0.0
0.04;1.0;0.7391304347826086;0.2608695652173913;0.0
0.05;1.0;0.7345132743362832;0.26548672566371684;0.0
0.060000000000000005;1.0;0.7247706422018348;0.27522935779816515;0.0
0.06999999999999999;1.0;0.7222222222222222;0.2777777777777778;0.0
0.08;1.0;0.7142857142857143;0.2857142857142857;0.0
0.09;0.9655172413793104;0.71;0.29;0.034482758620689655
0.09999999999999999;0.9166666666666666;0.7096774193548387;0.2903225806451613;0.08333333333333333
0.11;0.9047619047619048;0.7011494252873564;0.2988505747126437;0.09523809523809523
0.12;0.9148936170212766;0.6829268292682927;0.3170731707317073;0.0851063829787234
0.13;0.9166666666666666;0.6790123456790124;0.32098765432098764;0.08333333333333333
0.14;0.92;0.6708860759493671;0.3291139240506329;0.08
0.15000000000000002;0.9245283018867925;0.6578947368421053;0.34210526315789475;0.07547169811320754
0.16;0.9272727272727272;0.6486486486486487;0.35135135135135137;0.07272727272727272
0.17;0.9298245614035088;0.6388888888888888;0.3611111111111111;0.07017543859649122
0.18000000000000002;0.9365079365079365;0.6060606060606061;0.3939393939393939;0.06349206349206349
0.19;0.9230769230769231;0.609375;0.390625;0.07692307692307693
0.2;0.9264705882352942;0.5901639344262295;0.4098360655737705;0.07352941176470588
0.21000000000000002;0.927536231884058;0.5833333333333334;0.4166666666666667;0.07246376811594203
0.22;0.9285714285714286;0.576271186440678;0.423728813559322;0.07142857142857142
0.23;0.9324324324324325;0.5454545454545454;0.45454545454545453;0.06756756756756757
0.24000000000000002;0.9342105263157895;0.5283018867924528;0.4716981132075472;0.06578947368421052
0.25;0.935064935064935;0.5192307692307693;0.4807692307692308;0.06493506493506493
0.26;0.925;0.5102040816326531;0.4897959183673469;0.075
0.27;0.9146341463414634;0.5106382978723404;0.48936170212765956;0.08536585365853659
0.28;0.9186046511627907;0.46511627906976744;0.5348837209302325;0.08139534883720931
0.29000000000000004;0.9186046511627907;0.46511627906976744;0.5348837209302325;0.08139534883720931
0.3;0.9195402298850575;0.4523809523809524;0.5476190476190477;0.08045977011494253
0.31;0.9204545454545454;0.43902439024390244;0.5609756097560976;0.07954545454545454
0.32;0.9222222222222223;0.41025641025641024;0.5897435897435898;0.07777777777777778
0.33;0.9032258064516129;0.4166666666666667;0.5833333333333334;0.0967741935483871
0.34;0.8842105263157894;0.4411764705882353;0.5588235294117647;0.11578947368421053
0.35000000000000003;0.8787878787878788;0.4;0.6;0.12121212121212122
0.36000000000000004;0.8725490196078431;0.37037037037037035;0.6296296296296297;0.12745098039215685
0.37;0.8725490196078431;0.37037037037037035;0.6296296296296297;0.12745098039215685
0.38;0.8737864077669902;0.34615384615384615;0.6538461538461539;0.1262135922330097
0.39;0.8653846153846154;0.36;0.64;0.1346153846153846
0.4;0.8571428571428571;0.375;0.625;0.14285714285714285
0.41000000000000003;0.8571428571428571;0.375;0.625;0.14285714285714285
0.42000000000000004;0.8425925925925926;0.38095238095238093;0.6190476190476191;0.1574074074074074
0.43;0.8425925925925926;0.38095238095238093;0.6190476190476191;0.1574074074074074
0.44;0.8425925925925926;0.38095238095238093;0.6190476190476191;0.1574074074074074
0.45;0.8425925925925926;0.38095238095238093;0.6190476190476191;0.1574074074074074
0.46;0.8348623853211009;0.4;0.6;0.1651376146788991
0.47000000000000003;0.8363636363636363;0.3684210526315789;0.631578947368421;0.16363636363636364
0.48000000000000004;0.8378378378378378;0.3333333333333333;0.6666666666666666;0.16216216216216217
0.49;0.831858407079646;0.3125;0.6875;0.168141592920354
0.5;0.831858407079646;0.3125;0.6875;0.168141592920354
0.51;0.8260869565217391;0.2857142857142857;0.7142857142857143;0.17391304347826086
0.52;0.8275862068965517;0.23076923076923078;0.7692307692307693;0.1724137931034483
0.53;0.8205128205128205;0.25;0.75;0.1794871794871795
0.54;0.8135593220338984;0.2727272727272727;0.7272727272727273;0.1864406779661017
0.55;0.8135593220338984;0.2727272727272727;0.7272727272727273;0.1864406779661017
0.56;0.8083333333333333;0.2222222222222222;0.7777777777777778;0.19166666666666668
0.5700000000000001;0.8083333333333333;0.2222222222222222;0.7777777777777778;0.19166666666666668
0.5800000000000001;0.8099173553719008;0.125;0.875;0.19008264462809918
0.59;0.7967479674796748;0.16666666666666666;0.8333333333333334;0.2032520325203252
0.6;0.7903225806451613;0.2;0.8;0.20967741935483872
0.61;0.7903225806451613;0.2;0.8;0.20967741935483872
0.62;0.7903225806451613;0.2;0.8;0.20967741935483872
0.63;0.7903225806451613;0.2;0.8;0.20967741935483872
0.64;0.784;0.25;0.75;0.216
0.65;0.784;0.25;0.75;0.216
0.66;0.784;0.25;0.75;0.216
0.67;0.7795275590551181;0.0;1.0;0.2204724409448819
0.68;0.7795275590551181;0.0;1.0;0.2204724409448819
0.6900000000000001;0.7734375;0.0;1.0;0.2265625
0.7000000000000001;0.7734375;0.0;1.0;0.2265625
0.7100000000000001;0.7734375;0.0;1.0;0.2265625
0.72;0.7734375;0.0;1.0;0.2265625
0.73;0.7734375;0.0;1.0;0.2265625
0.74;0.7674418604651163;;;0.23255813953488372
0.75;0.7674418604651163;;;0.23255813953488372
0.76;0.7674418604651163;;;0.23255813953488372
0.77;0.7674418604651163;;;0.23255813953488372
0.78;0.7674418604651163;;;0.23255813953488372
0.79;0.7674418604651163;;;0.23255813953488372
0.8;0.7674418604651163;;;0.23255813953488372
0.81;0.7674418604651163;;;0.23255813953488372
0.8200000000000001;0.7674418604651163;;;0.23255813953488372
0.8300000000000001;0.7674418604651163;;;0.23255813953488372
0.8400000000000001;0.7674418604651163;;;0.23255813953488372
0.85;0.7674418604651163;;;0.23255813953488372
0.86;0.7674418604651163;;;0.23255813953488372
0.87;0.7674418604651163;;;0.23255813953488372
0.88;0.7674418604651163;;;0.23255813953488372
0.89;0.7674418604651163;;;0.23255813953488372
0.9;0.7674418604651163;;;0.23255813953488372
0.91;0.7674418604651163;;;0.23255813953488372
0.92;0.7674418604651163;;;0.23255813953488372
0.93;0.7674418604651163;;;0.23255813953488372
0.9400000000000001;0.7674418604651163;;;0.23255813953488372
0.9500000000000001;0.7674418604651163;;;0.23255813953488372
0.9600000000000001;0.7674418604651163;;;0.23255813953488372
0.97;0.7674418604651163;;;0.23255813953488372
0.98;0.7674418604651163;;;0.23255813953488372
0.99;0.7674418604651163;;;0.23255813953488372
