"gene";"mean";"sd";"se"
"TSNAXIP1";0.000245289531205353;0.000573807034243975;3.83744664726328e-07
"TSPAN12";-0.000205185983003878;0.00010422365616697;5.27765724277196e-08
"TSPAN13";-1.59412839635425e-05;3.93099996494746e-05;1.77275791594382e-09
"TSPAN14";9.75480605959507e-05;9.46600902838809e-05;1.83216648756087e-08
"TSPAN15";-0.000379352644355404;0.000535904324573263;4.26150262753413e-07
"TSPAN17";-1.15170196121004e-05;0.000102131518962546;1.03836467138322e-08
"TSPAN3";-0.000191770089805436;0.000139615452040358;5.5932164646756e-08
"TSPAN6";9.83527737581024e-06;1.31892391185408e-05;2.67689467714032e-10
"TSPYL5";-0.000162655027108096;0.000118234737531501;4.01950859482103e-08
"TSPYL6";-1.89701155679626e-05;4.61617009089678e-05;2.45402821493966e-09
"TTBK1";-6.85428383295963e-05;0.000282405537826369;8.30759586917091e-08
"TTC12";-2.03039135352582e-06;3.53735654920243e-06;1.64196408985166e-11
"TTC13";5.55342067723739e-06;5.97857458391029e-05;3.54354941424691e-09
"TTC16";3.27834684959143e-05;0.00014520510990485;2.17957534742319e-08
"TTC18";-2.36388523114783e-05;1.85538480825083e-05;8.97105353847355e-10
"TTC23";-5.41784021795201e-05;0.000140654384479198;2.23778576208923e-08
"TTC28";2.88460182744911e-05;4.49363482639164e-05;2.81655307256591e-09
"TTC29";1.12516979104358e-05;5.34633517850155e-05;2.93564913850622e-09
"TTC31";4.35712822690845e-05;6.42459930784768e-05;5.95483965095951e-09
"TTC32";2.08110568302205e-05;4.5295340191011e-05;2.44939434590975e-09
"TTC36";-3.58620630326993e-05;0.00010968818221424;1.31101452735038e-08
"TTC39A";-2.95667228849894e-05;4.52722227212701e-05;2.88842776693507e-09
"TTC39B";-1.15938861021776e-05;2.47828279455544e-05;7.38017297981304e-10
"TTC4";-1.09029509359664e-05;1.76225760667836e-05;4.24075126561845e-10
"TTC7A";-8.97632936670211e-07;0.000107397001762645;1.13360576637427e-08
"TTC7B";4.18049104321757e-05;6.08030722493612e-05;5.38092251749705e-09
"TTC9";-0.000181850106584642;0.000164446748463084;5.96459403263044e-08
"TTC9C";-0.000307380936203792;0.000200262075512203;1.33896475056036e-07
"TTLL1";-8.3479622088495e-06;1.37264636235975e-05;2.54855728312223e-10
"TTLL10";0.000156640845093356;0.000258830880987194;9.03747202532608e-08
"TTLL2";1.33003781105731e-05;6.31849964807957e-05;4.10041032470931e-09
"TTPA";4.24855457084307e-06;2.46570287999999e-05;6.15537059853665e-10
"TTPAL";0.000272866285830775;0.000164561734357643;1.01069668074864e-07
