"prob";"tp1";"fp1";"tp2";"fp2"
0.01;NA;0.76271186440678;0.23728813559322;NA
0.02;NA;0.76271186440678;0.23728813559322;NA
0.03;NA;0.76271186440678;0.23728813559322;NA
0.04;NA;0.76271186440678;0.23728813559322;NA
0.05;NA;0.76271186440678;0.23728813559322;NA
0.06;NA;0.76271186440678;0.23728813559322;NA
0.07;1;0.760683760683761;0.239316239316239;0
0.08;1;0.760683760683761;0.239316239316239;0
0.09;1;0.752212389380531;0.247787610619469;0
0.1;1;0.75;0.25;0
0.11;1;0.740740740740741;0.259259259259259;0
0.12;1;0.728155339805825;0.271844660194175;0
0.13;1;0.698924731182796;0.301075268817204;0
0.14;1;0.67816091954023;0.32183908045977;0
0.15;1;0.645569620253165;0.354430379746835;0
0.16;1;0.631578947368421;0.368421052631579;0
0.17;1;0.605633802816901;0.394366197183099;0
0.18;1;0.588235294117647;0.411764705882353;0
0.19;1;0.575757575757576;0.424242424242424;0
0.2;1;0.533333333333333;0.466666666666667;0
0.21;1;0.517241379310345;0.482758620689655;0
0.22;1;0.450980392156863;0.549019607843137;0
0.23;1;0.377777777777778;0.622222222222222;0
0.24;1;0.3;0.7;0
0.25;1;0.282051282051282;0.717948717948718;0
0.26;1;0.263157894736842;0.736842105263158;0
0.27;1;0.176470588235294;0.823529411764706;0
0.28;1;0.176470588235294;0.823529411764706;0
0.29;1;0.151515151515152;0.848484848484849;0
0.3;0.988372093023256;0.15625;0.84375;0.0116279069767442
0.31;0.988505747126437;0.129032258064516;0.870967741935484;0.0114942528735632
0.32;0.977272727272727;0.133333333333333;0.866666666666667;0.0227272727272727
0.33;0.97752808988764;0.103448275862069;0.896551724137931;0.0224719101123595
0.34;0.967391304347826;0.0384615384615385;0.961538461538462;0.0326086956521739
0.35;0.956989247311828;0.04;0.96;0.043010752688172
0.36;0.947368421052632;0;1;0.0526315789473684
0.37;0.947368421052632;0;1;0.0526315789473684
0.38;0.927835051546392;0;1;0.0721649484536082
0.39;0.927835051546392;0;1;0.0721649484536082
0.4;0.918367346938776;0;1;0.0816326530612245
0.41;0.9;0;1;0.1
0.42;0.9;0;1;0.1
0.43;0.891089108910891;0;1;0.108910891089109
0.44;0.87378640776699;0;1;0.12621359223301
0.45;0.857142857142857;0;1;0.142857142857143
0.46;0.849056603773585;0;1;0.150943396226415
0.47;0.849056603773585;0;1;0.150943396226415
0.48;0.849056603773585;0;1;0.150943396226415
0.49;0.833333333333333;0;1;0.166666666666667
0.5;0.810810810810811;0;1;0.189189189189189
0.51;0.803571428571429;0;1;0.196428571428571
0.52;0.775862068965517;0;1;0.224137931034483
0.53;0.775862068965517;0;1;0.224137931034483
0.54;0.769230769230769;0;1;0.230769230769231
0.55;0.769230769230769;0;1;0.230769230769231
0.56;0.769230769230769;0;1;0.230769230769231
0.57;0.76271186440678;NA;NA;0.23728813559322
0.58;0.76271186440678;NA;NA;0.23728813559322
0.59;0.76271186440678;NA;NA;0.23728813559322
0.6;0.76271186440678;NA;NA;0.23728813559322
0.61;0.76271186440678;NA;NA;0.23728813559322
0.62;0.76271186440678;NA;NA;0.23728813559322
0.63;0.76271186440678;NA;NA;0.23728813559322
0.64;0.76271186440678;NA;NA;0.23728813559322
0.65;0.76271186440678;NA;NA;0.23728813559322
0.66;0.76271186440678;NA;NA;0.23728813559322
0.67;0.76271186440678;NA;NA;0.23728813559322
0.68;0.76271186440678;NA;NA;0.23728813559322
0.69;0.76271186440678;NA;NA;0.23728813559322
0.7;0.76271186440678;NA;NA;0.23728813559322
0.71;0.76271186440678;NA;NA;0.23728813559322
0.72;0.76271186440678;NA;NA;0.23728813559322
0.73;0.76271186440678;NA;NA;0.23728813559322
0.74;0.76271186440678;NA;NA;0.23728813559322
0.75;0.76271186440678;NA;NA;0.23728813559322
0.76;0.76271186440678;NA;NA;0.23728813559322
0.77;0.76271186440678;NA;NA;0.23728813559322
0.78;0.76271186440678;NA;NA;0.23728813559322
0.79;0.76271186440678;NA;NA;0.23728813559322
0.8;0.76271186440678;NA;NA;0.23728813559322
0.81;0.76271186440678;NA;NA;0.23728813559322
0.82;0.76271186440678;NA;NA;0.23728813559322
0.83;0.76271186440678;NA;NA;0.23728813559322
0.84;0.76271186440678;NA;NA;0.23728813559322
0.85;0.76271186440678;NA;NA;0.23728813559322
0.86;0.76271186440678;NA;NA;0.23728813559322
0.87;0.76271186440678;NA;NA;0.23728813559322
0.88;0.76271186440678;NA;NA;0.23728813559322
0.89;0.76271186440678;NA;NA;0.23728813559322
0.9;0.76271186440678;NA;NA;0.23728813559322
0.91;0.76271186440678;NA;NA;0.23728813559322
0.92;0.76271186440678;NA;NA;0.23728813559322
0.93;0.76271186440678;NA;NA;0.23728813559322
0.94;0.76271186440678;NA;NA;0.23728813559322
0.95;0.76271186440678;NA;NA;0.23728813559322
0.96;0.76271186440678;NA;NA;0.23728813559322
0.97;0.76271186440678;NA;NA;0.23728813559322
0.98;0.76271186440678;NA;NA;0.23728813559322
0.99;0.76271186440678;NA;NA;0.23728813559322
1;0.76271186440678;NA;NA;0.23728813559322
