prob;tp1;fp1;tp2;fp2
0.01;1.0;0.7333333333333333;0.26666666666666666;0.0
0.02;1.0;0.7257142857142858;0.2742857142857143;0.0
0.03;1.0;0.7192982456140351;0.2807017543859649;0.0
0.04;0.9615384615384616;0.7168674698795181;0.28313253012048195;0.038461538461538464
0.05;0.9666666666666667;0.7098765432098766;0.29012345679012347;0.03333333333333333
0.060000000000000005;0.9705882352941176;0.7025316455696202;0.2974683544303797;0.029411764705882353
0.06999999999999999;0.975;0.6907894736842105;0.3092105263157895;0.025
0.08;0.9767441860465116;0.6845637583892618;0.31543624161073824;0.023255813953488372
0.09;0.9782608695652174;0.678082191780822;0.3219178082191781;0.021739130434782608
0.09999999999999999;0.9791666666666666;0.6736111111111112;0.3263888888888889;0.020833333333333332
0.11;0.9814814814814815;0.6594202898550725;0.34057971014492755;0.018518518518518517
0.12;0.9818181818181818;0.656934306569343;0.34306569343065696;0.01818181818181818
0.13;0.9661016949152542;0.6541353383458647;0.3458646616541353;0.03389830508474576
0.14;0.967741935483871;0.6461538461538462;0.35384615384615387;0.03225806451612903
0.15000000000000002;0.96875;0.640625;0.359375;0.03125
0.16;0.9692307692307692;0.6377952755905512;0.36220472440944884;0.03076923076923077
0.17;0.9705882352941176;0.6290322580645161;0.3709677419354839;0.029411764705882353
0.18000000000000002;0.9436619718309859;0.6363636363636364;0.36363636363636365;0.056338028169014086
0.19;0.9466666666666667;0.6239316239316239;0.37606837606837606;0.05333333333333334
0.2;0.9487179487179487;0.6140350877192983;0.38596491228070173;0.05128205128205128
0.21000000000000002;0.9523809523809523;0.5925925925925926;0.4074074074074074;0.047619047619047616
0.22;0.9444444444444444;0.5784313725490197;0.4215686274509804;0.05555555555555555
0.23;0.9444444444444444;0.5784313725490197;0.4215686274509804;0.05555555555555555
0.24000000000000002;0.9381443298969072;0.5578947368421052;0.4421052631578947;0.061855670103092786
0.25;0.9191919191919192;0.5698924731182796;0.43010752688172044;0.08080808080808081
0.26;0.9230769230769231;0.5454545454545454;0.45454545454545453;0.07692307692307693
0.27;0.9181818181818182;0.524390243902439;0.47560975609756095;0.08181818181818182
0.28;0.9196428571428571;0.5125;0.4875;0.08035714285714286
0.29000000000000004;0.8974358974358975;0.52;0.48;0.10256410256410256
0.3;0.8991596638655462;0.5068493150684932;0.4931506849315068;0.10084033613445378
0.31;0.8861788617886179;0.5072463768115942;0.4927536231884058;0.11382113821138211
0.32;0.8778625954198473;0.47540983606557374;0.5245901639344263;0.12213740458015267
0.33;0.8778625954198473;0.47540983606557374;0.5245901639344263;0.12213740458015267
0.34;0.8721804511278195;0.4745762711864407;0.5254237288135594;0.12781954887218044
0.35000000000000003;0.8666666666666667;0.47368421052631576;0.5263157894736842;0.13333333333333333
0.36000000000000004;0.855072463768116;0.48148148148148145;0.5185185185185185;0.14492753623188406
0.37;0.8571428571428571;0.46153846153846156;0.5384615384615384;0.14285714285714285
0.38;0.8551724137931035;0.425531914893617;0.574468085106383;0.14482758620689656
0.39;0.8445945945945946;0.4318181818181818;0.5681818181818182;0.1554054054054054
0.4;0.8421052631578947;0.4;0.6;0.15789473684210525
0.41000000000000003;0.832258064516129;0.40540540540540543;0.5945945945945946;0.16774193548387098
0.42000000000000004;0.8164556962025317;0.4411764705882353;0.5588235294117647;0.18354430379746836
0.43;0.8164556962025317;0.4411764705882353;0.5588235294117647;0.18354430379746836
0.44;0.81875;0.40625;0.59375;0.18125
0.45;0.8148148148148148;0.4;0.6;0.18518518518518517
0.46;0.8;0.4444444444444444;0.5555555555555556;0.2
0.47000000000000003;0.7953216374269005;0.38095238095238093;0.6190476190476191;0.2046783625730994
0.48000000000000004;0.7988505747126436;0.2777777777777778;0.7222222222222222;0.20114942528735633
0.49;0.7942857142857143;0.29411764705882354;0.7058823529411765;0.2057142857142857
0.5;0.7865168539325843;0.2857142857142857;0.7142857142857143;0.21348314606741572
0.51;0.7821229050279329;0.3076923076923077;0.6923076923076923;0.21787709497206703
0.52;0.7777777777777778;0.3333333333333333;0.6666666666666666;0.2222222222222222
0.53;0.7747252747252747;0.3;0.7;0.22527472527472528
0.54;0.7747252747252747;0.3;0.7;0.22527472527472528
0.55;0.7747252747252747;0.3;0.7;0.22527472527472528
0.56;0.7704918032786885;0.3333333333333333;0.6666666666666666;0.22950819672131148
0.5700000000000001;0.7704918032786885;0.3333333333333333;0.6666666666666666;0.22950819672131148
0.5800000000000001;0.7675675675675676;0.2857142857142857;0.7142857142857143;0.23243243243243245
0.59;0.7634408602150538;0.3333333333333333;0.6666666666666666;0.23655913978494625
0.6;0.7634408602150538;0.3333333333333333;0.6666666666666666;0.23655913978494625
0.61;0.7634408602150538;0.3333333333333333;0.6666666666666666;0.23655913978494625
0.62;0.7606382978723404;0.25;0.75;0.2393617021276596
0.63;0.7606382978723404;0.25;0.75;0.2393617021276596
0.64;0.7606382978723404;0.25;0.75;0.2393617021276596
0.65;0.7566137566137566;0.3333333333333333;0.6666666666666666;0.24338624338624337
0.66;0.7526315789473684;0.5;0.5;0.24736842105263157
0.67;0.7526315789473684;0.5;0.5;0.24736842105263157
0.68;0.7526315789473684;0.5;0.5;0.24736842105263157
0.6900000000000001;0.7526315789473684;0.5;0.5;0.24736842105263157
0.7000000000000001;0.7526315789473684;0.5;0.5;0.24736842105263157
0.7100000000000001;0.7526315789473684;0.5;0.5;0.24736842105263157
0.72;0.7526315789473684;0.5;0.5;0.24736842105263157
0.73;0.7539267015706806;0.0;1.0;0.24607329842931938
0.74;0.7539267015706806;0.0;1.0;0.24607329842931938
