id0;gamma;cil;cip
mf_40_lr_all;0.5096309805762042;0.3679460892467882;0.666941836927529
pca_40_lr_all;0.5088394768313824;0.3669846702556127;0.6680366869693651
mf_40_lr_gender_MALE;0.5088058355361315;0.3653275962271391;0.6680511523276494
pca_40_lr_gender_MALE;0.5076875656641736;0.3650701872534169;0.6669317125100721
mf_40_lr_gender_FEMALE;0.5093680663111105;0.3511373590102249;0.686061401525802
pca_40_lr_gender_FEMALE;0.5083599152347422;0.3513046683242768;0.6850523761711229
mf_40_lr_abr_LUSC;0.5055943124490101;0.3018306758672851;0.712676797090763
pca_40_lr_abr_LUSC;0.5035852438909332;0.30387282248057423;0.7096245662852916
mf_40_lr_abr_PRAD;0.501359785935845;0.3048430046200237;0.6993559910059008
pca_40_lr_abr_PRAD;0.5014575387874561;0.30574178993396023;0.700231346998818
mf_40_lr_abr_CHOL;0.5072302418467151;0.3223024848035189;0.7112069657735794
pca_40_lr_abr_CHOL;0.5055854325879799;0.3222224253184344;0.7094094896420965
mf_40_lr_abr_TGCT;0.5010922655983511;0.2907881092684058;0.7176379396331595
pca_40_lr_abr_TGCT;0.4998838787403746;0.2917000516877066;0.7159857241837471
mf_40_lr_abr_ESCA;0.5021811158655366;0.31056752983613833;0.7042729379105412
pca_40_lr_abr_ESCA;0.5052113684420838;0.311692169982801;0.7084984140345589
mf_40_lr_abr_PAAD;0.5010230918011134;0.2789367722040062;0.7115812011897102
pca_40_lr_abr_PAAD;0.5029100622700254;0.2764467980534119;0.7138883750761286
mf_40_lr_abr_LIHC;0.506260199250104;0.2864596287843964;0.7715682075244099
pca_40_lr_abr_LIHC;0.5059893840439175;0.2880952980475411;0.7700233923949535
mf_40_lr_abr_SARC;0.5067168891114546;0.30774404413033674;0.7426424219368539
pca_40_lr_abr_SARC;0.5063881207951403;0.30614342100804226;0.7413777529778924
mf_40_lr_abr_SKCM;0.5075833486563599;0.29938674815871524;0.723490358413107
pca_40_lr_abr_SKCM;0.5084097590807011;0.29810755474792777;0.7262343643010392
mf_40_lr_abr_HNSC;0.503096420937564;0.2988194516523301;0.7169969396142502
pca_40_lr_abr_HNSC;0.5018495563992699;0.2987843919214528;0.7171832823223763
mf_40_lr_abr_LGG;0.5035895324601806;0.30105319347620096;0.7241856491982489
pca_40_lr_abr_LGG;0.5026282802959848;0.3018274554783837;0.723815738010833
ac_10_lr_all;0.5177448435009004;0.3671384419940056;0.6677177777920356
ac_10_lr_gender_MALE;0.519536141081426;0.36422629942996954;0.6671960765217112
ac_10_lr_gender_FEMALE;0.5162682296718686;0.35109678871646066;0.6859556786034371
ac_10_lr_abr_LUSC;0.5018675457729086;0.3018086298087904;0.7111892667741281
ac_10_lr_abr_PRAD;0.4977662743907955;0.3060270327456088;0.6990998854717294
ac_10_lr_abr_CHOL;0.5116551875963141;0.3229912824304477;0.710084164938801
ac_10_lr_abr_TGCT;0.4985884009376792;0.2895265334144923;0.7194946369426531
ac_10_lr_abr_ESCA;0.49051242348057256;0.30662618527934776;0.7079534365495708
ac_10_lr_abr_PAAD;0.4831499433908859;0.2786195621685138;0.7145224795335334
ac_10_lr_abr_LIHC;0.5190985872182211;0.2879132659714382;0.7708798416942045
ac_10_lr_abr_SARC;0.5125236778505955;0.30653039257483516;0.7398716627714602
ac_10_lr_abr_SKCM;0.5162224366298157;0.29682197400913557;0.7248981579686093
ac_10_lr_abr_HNSC;0.5001927637935915;0.3011828118036436;0.7157364811680421
ac_10_lr_abr_LGG;0.49796905613492076;0.29932576958768486;0.7249058719663456
