"gene";"mean";"sd";"se"
"g10357";3.38422559150823e-06;2.59545882422386e-05;6.78076543565619e-10
"g340602";-8.05233857246734e-05;0.00010152059005248;1.66830872052036e-08
"g388795";6.09344572167469e-06;5.18404869460191e-05;2.6965720416592e-09
"G6PC3";-1.70935080645827e-05;2.06719815426429e-05;7.15067476135622e-10
"G6PD";-9.75916648794118e-05;0.000244538875998832;6.87004859508451e-08
"g728603";-2.14486189436698e-05;5.30254375150736e-05;3.24245176759255e-09
"g90288";-2.2418275651831e-05;5.68284399801779e-05;3.69841034471361e-09
"GAB1";-6.5501669113642e-05;5.47841160375378e-05;7.26050449158314e-09
"GABARAPL1";-1.78745293526692e-05;2.74865145396426e-05;1.0671374011014e-09
"GABBR2";-5.53421120520758e-07;2.91390064998655e-06;8.70864592423472e-12
"GABRB3";-6.76548676201612e-06;1.32016036613091e-05;2.18238709323656e-10
"GABRD";-1.59441233470598e-05;2.49815208689e-05;8.71790658553259e-10
"GABRE";3.92924706281878e-05;5.22184221380262e-05;4.24225807104185e-09
"GABRQ";4.13609479150747e-06;2.16084264630121e-05;4.79167581683744e-10
"GAD1";0.000124976656595487;7.23914053155746e-05;2.08050915535631e-08
"GADD45G";3.26772412549229e-06;1.33321160542383e-05;1.86571825709798e-10
"GAGE1";-6.28754890444339e-08;6.16051461947267e-07;3.79519403767365e-13
"GAGE2E";0;0;0
"GALE";-3.20115011018182e-05;4.25024173376512e-05;2.812374437757e-09
"GALK1";0.00191163913406956;0.000711613677062645;4.15548326652445e-06
"GALK2";-4.26608371513273e-05;3.52837209522383e-05;3.05191985564337e-09
"GALM";2.86912191604267e-05;3.51915485474342e-05;2.04873067639924e-09
"GALNS";-0.000126554027105161;0.000152385248457934;3.89952975579994e-08
"GALNT10";1.29145216345046e-05;2.39326520095875e-05;7.33590328007892e-10
"GALNT11";4.87238952888586e-05;5.8148809502044e-05;5.7200803098069e-09
"GALNT12";2.1626466516512e-06;1.54710074835242e-05;2.41535862339377e-10
"GALNT13";-1.14604169744771e-05;0.000128563015757975;1.64876188340477e-08
"GALNT14";0.000350190683488774;0.000629859951553751;5.15224536305177e-07
