"gene";"mean";"sd";"se"
"UPRT";-0.000431099289924123;0.000807766822411721;8.33536136872586e-07
"UQCC";-3.4364619397912e-07;3.96842126978783e-05;1.56337514826406e-09
"UQCRH";1.23087770010389e-06;3.22581527645308e-06;1.18444302560155e-11
"UROD";-2.6773645817822e-07;3.12231681626692e-06;9.74886230114319e-12
"UROS";2.29434189278809e-05;3.72266853948032e-05;1.90203667974946e-09
"USE1";-0.000309698035827571;0.000504127280291517;3.48188479933002e-07
"USF1";0.00068741565809136;0.00132881059293244;2.22529451423239e-06
"USF2";-0.000166893937679683;0.000189729961792252;6.35863576417892e-08
"USH1C";1.51674156602603e-06;4.24773904276636e-06;2.02111207257921e-11
"USH1G";1.25194488556963e-05;4.29754677542496e-05;1.99004734872418e-09
"USH2A";3.32044615908188e-06;4.7675965421616e-06;3.35882073019221e-11
"USHBP1";-8.29807889992761e-05;5.85224993180818e-05;1.02855113066829e-08
"USP13";-3.29895782782786e-05;3.80488964789411e-05;2.52538580910219e-09
"USP18";-9.41702600771288e-06;1.48619595037196e-05;3.07934117353301e-10
"USP27X";3.35805065332663e-05;4.13562204260856e-05;2.82541137984458e-09
"USP3";-0.000153905735295425;8.40096167625271e-05;3.06926968322607e-08
"USP31";1.26446219407985e-05;2.93402182037873e-05;1.0144051005933e-09
"USP44";1.86681230874922e-05;6.30688127286964e-05;4.29692634730091e-09
"USP51";1.39010671536572e-07;2.60685545021913e-07;8.67812367036604e-14
"USP6";-3.64192454624685e-07;6.51836380324606e-06;4.23092832075955e-11
"USP8";2.00790998810468e-06;3.7188417700598e-05;1.37684115468952e-09
"UTS2D";8.57680244550478e-07;7.71664101211913e-06;5.98443216433559e-11
"UVRAG";-4.24591535865659e-05;8.58555005441901e-05;9.1197469398215e-09
"UXS1";-9.15724807451425e-06;3.0559772537842e-05;1.01088798032192e-09
"UXT";-9.05653891383354e-05;0.000118468179596022;2.21336028926264e-08
"VAMP4";-2.71507856065907e-05;5.11695210482213e-05;3.33623269126894e-09
"VAMP5";4.366377024231e-05;6.57701989276203e-05;6.20043714090655e-09
"VAMP7";-4.14249139885625e-05;7.44180939235848e-05;7.21335522642032e-09
"VARS2";4.41082055641527e-05;5.79316618496229e-05;5.27693420271434e-09
"VASH2";0;0;0
"VAV1";-0.000329047180932549;0.000321961924768308;2.11169326213991e-07
"VAV2";-0.000685758323354878;0.000541915708550221;7.61777755612412e-07
"VAX1";1.18656218210382e-05;5.34063136737969e-05;2.97205501009871e-09
"VAX2";-8.46482132769902e-06;8.18573109809502e-06;1.38166701120112e-10
"VCAM1";-0.000304318876465414;0.000311994019522115;1.89234509524432e-07
"VCAN";-0.00130565913606473;0.00103155983832317;2.76103709948327e-06
"VCY";2.73778872020193e-05;8.08072295279491e-05;7.23134375498221e-09
"VDAC1";-1.23723685571348e-06;1.09592876730951e-05;1.20753609086572e-10
"VEGFA";4.13085596510131e-05;3.52266335914432e-05;2.93818843437573e-09
"VEGFB";0.000344385682210555;0.000352010522328308;2.41601792648611e-07
"VEPH1";-7.1944832689315e-07;2.93113036896351e-05;8.533528319106e-10
"VGLL4";-4.9353903767879e-05;0.000123048491720186;1.74654087544285e-08
"VHL";3.60248429331812e-05;0.000181688729141217;3.4065857176657e-08
"VIP";1.98272998082935e-05;0.000149227268581973;2.24981584937093e-08
"VKORC1";-2.21599938899421e-05;3.40603481074938e-05;1.64264244157355e-09
