prob;tp1;fp1;tp2;fp2
0.01;1.0;0.7348066298342542;0.26519337016574585;0.0
0.02;1.0;0.7272727272727273;0.2727272727272727;0.0
0.03;1.0;0.7225433526011561;0.2774566473988439;0.0
0.04;1.0;0.7176470588235294;0.2823529411764706;0.0
0.05;1.0;0.7108433734939759;0.2891566265060241;0.0
0.060000000000000005;1.0;0.7055214723926381;0.294478527607362;0.0
0.06999999999999999;1.0;0.7;0.3;0.0
0.08;1.0;0.6903225806451613;0.3096774193548387;0.0
0.09;1.0;0.6821192052980133;0.31788079470198677;0.0
0.09999999999999999;1.0;0.673469387755102;0.32653061224489793;0.0
0.11;1.0;0.6666666666666666;0.3333333333333333;0.0
0.12;1.0;0.6595744680851063;0.3404255319148936;0.0
0.13;0.9811320754716981;0.6618705035971223;0.3381294964028777;0.018867924528301886
0.14;0.9830508474576272;0.6466165413533834;0.3533834586466165;0.01694915254237288
0.15000000000000002;0.9682539682539683;0.6434108527131783;0.35658914728682173;0.031746031746031744
0.16;0.96875;0.640625;0.359375;0.03125
0.17;0.9552238805970149;0.64;0.36;0.04477611940298507
0.18000000000000002;0.9565217391304348;0.6341463414634146;0.36585365853658536;0.043478260869565216
0.19;0.9605263157894737;0.6120689655172413;0.3879310344827586;0.039473684210526314
0.2;0.9367088607594937;0.6194690265486725;0.3805309734513274;0.06329113924050633
0.21000000000000002;0.9058823529411765;0.6261682242990654;0.37383177570093457;0.09411764705882353
0.22;0.8924731182795699;0.6161616161616161;0.3838383838383838;0.10752688172043011
0.23;0.8865979381443299;0.6105263157894737;0.3894736842105263;0.1134020618556701
0.24000000000000002;0.875;0.6022727272727273;0.3977272727272727;0.125
0.25;0.8691588785046729;0.6;0.4;0.1308411214953271
0.26;0.8727272727272727;0.5853658536585366;0.4146341463414634;0.12727272727272726
0.27;0.8771929824561403;0.5641025641025641;0.4358974358974359;0.12280701754385964
0.28;0.8813559322033898;0.5405405405405406;0.4594594594594595;0.11864406779661017
0.29000000000000004;0.8760330578512396;0.5352112676056338;0.4647887323943662;0.12396694214876033
0.3;0.88;0.5074626865671642;0.4925373134328358;0.12
0.31;0.8740157480314961;0.5076923076923077;0.49230769230769234;0.12598425196850394
0.32;0.8646616541353384;0.4915254237288136;0.5084745762711864;0.13533834586466165
0.33;0.8529411764705882;0.5;0.5;0.14705882352941177
0.34;0.8540145985401459;0.4909090909090909;0.509090909090909;0.145985401459854
0.35000000000000003;0.8571428571428571;0.46153846153846156;0.5384615384615384;0.14285714285714285
0.36000000000000004;0.852112676056338;0.46;0.54;0.14788732394366197
0.37;0.8493150684931506;0.43478260869565216;0.5652173913043478;0.1506849315068493
0.38;0.8503401360544217;0.4222222222222222;0.5777777777777777;0.14965986394557823
0.39;0.8466666666666667;0.40476190476190477;0.5952380952380952;0.15333333333333332
0.4;0.8421052631578947;0.4;0.6;0.15789473684210525
0.41000000000000003;0.8366013071895425;0.41025641025641024;0.5897435897435898;0.16339869281045752
0.42000000000000004;0.8333333333333334;0.3888888888888889;0.6111111111111112;0.16666666666666666
0.43;0.8291139240506329;0.38235294117647056;0.6176470588235294;0.17088607594936708
0.44;0.8209876543209876;0.36666666666666664;0.6333333333333333;0.17901234567901234
0.45;0.823170731707317;0.32142857142857145;0.6785714285714286;0.17682926829268292
0.46;0.823170731707317;0.32142857142857145;0.6785714285714286;0.17682926829268292
0.47000000000000003;0.8058823529411765;0.3181818181818182;0.6818181818181818;0.19411764705882353
0.48000000000000004;0.8023255813953488;0.3;0.7;0.19767441860465115
0.49;0.7954545454545454;0.25;0.75;0.20454545454545456
0.5;0.7909604519774012;0.26666666666666666;0.7333333333333333;0.20903954802259886
0.51;0.7865168539325843;0.2857142857142857;0.7142857142857143;0.21348314606741572
0.52;0.7821229050279329;0.3076923076923077;0.6923076923076923;0.21787709497206703
0.53;0.7777777777777778;0.3333333333333333;0.6666666666666666;0.2222222222222222
0.54;0.7790055248618785;0.2727272727272727;0.7272727272727273;0.22099447513812154
0.55;0.7759562841530054;0.2222222222222222;0.7777777777777778;0.22404371584699453
0.56;0.7759562841530054;0.2222222222222222;0.7777777777777778;0.22404371584699453
0.5700000000000001;0.7771739130434783;0.125;0.875;0.22282608695652173
0.5800000000000001;0.772972972972973;0.14285714285714285;0.8571428571428571;0.22702702702702704
0.59;0.7741935483870968;0.0;1.0;0.22580645161290322
0.6;0.7741935483870968;0.0;1.0;0.22580645161290322
0.61;0.7659574468085106;0.0;1.0;0.23404255319148937
0.62;0.7619047619047619;0.0;1.0;0.23809523809523808
